Seq 0 , 2.00
Seq 1 , 3.00
Seq 304 , 1.28ms, Time Mon Mar  7 10:01:26 2016

Seq 305 , 1.48ms, Time Mon Mar  7 10:01:27 2016

Seq 306 , 1.33ms, Time Mon Mar  7 10:01:28 2016

Seq 307 , 1.25ms, Time Mon Mar  7 10:01:29 2016

Seq 308 , 1.34ms, Time Mon Mar  7 10:01:30 2016

Seq 309 , 1.24ms, Time Mon Mar  7 10:01:31 2016

Seq 310 , 1.22ms, Time Mon Mar  7 10:01:32 2016

Seq 311 , 1.36ms, Time Mon Mar  7 10:01:33 2016

Seq 312 , 1.27ms, Time Mon Mar  7 10:01:34 2016

Seq 313 , 1.23ms, Time Mon Mar  7 10:01:35 2016

Seq 314 , 1.26ms, Time Mon Mar  7 10:01:36 2016

Seq 315 , 1.23ms, Time Mon Mar  7 10:01:37 2016

Seq 316 , 1.22ms, Time Mon Mar  7 10:01:38 2016

Seq 317 , 1.42ms, Time Mon Mar  7 10:01:39 2016

Seq 318 , 1.24ms, Time Mon Mar  7 10:01:40 2016

Seq 319 , 1.27ms, Time Mon Mar  7 10:01:41 2016

Seq 320 , 1.23ms, Time Mon Mar  7 10:01:42 2016

Seq 321 , 1.23ms, Time Mon Mar  7 10:01:43 2016

Seq 322 , 1.21ms, Time Mon Mar  7 10:01:44 2016

Seq 323 , 1.43ms, Time Mon Mar  7 10:01:45 2016

Seq 324 , 1.30ms, Time Mon Mar  7 10:01:46 2016

Seq 325 , 1.23ms, Time Mon Mar  7 10:01:47 2016

Seq 326 , 1.28ms, Time Mon Mar  7 10:01:48 2016

Seq 327 , 1.29ms, Time Mon Mar  7 10:01:49 2016

Seq 328 , 1.23ms, Time Mon Mar  7 10:01:50 2016

Seq 329 , 1.46ms, Time Mon Mar  7 10:01:51 2016

Seq 330 , 1.27ms, Time Mon Mar  7 10:01:52 2016

Seq 331 , 1.23ms, Time Mon Mar  7 10:01:53 2016

Seq 332 , 1.31ms, Time Mon Mar  7 10:01:54 2016

Seq 333 , 1.23ms, Time Mon Mar  7 10:01:55 2016

Seq 334 , 1.21ms, Time Mon Mar  7 10:01:56 2016

Seq 335 , 1.44ms, Time Mon Mar  7 10:01:57 2016

Seq 336 , 1.23ms, Time Mon Mar  7 10:01:58 2016

Seq 337 , 1.25ms, Time Mon Mar  7 10:01:59 2016

Seq 338 , 1.23ms, Time Mon Mar  7 10:02:00 2016

Seq 339 , 1.24ms, Time Mon Mar  7 10:02:01 2016

Seq 340 , 1.58ms, Time Mon Mar  7 10:02:02 2016

Seq 341 , 1.31ms, Time Mon Mar  7 10:02:03 2016

Seq 342 , 1.24ms, Time Mon Mar  7 10:02:04 2016

Seq 343 , 1.27ms, Time Mon Mar  7 10:02:05 2016

Seq 344 , 1.25ms, Time Mon Mar  7 10:02:06 2016

Seq 345 , 1.22ms, Time Mon Mar  7 10:02:07 2016

Seq 346 , 1.29ms, Time Mon Mar  7 10:02:08 2016

Seq 347 , 1.23ms, Time Mon Mar  7 10:02:09 2016

Seq 348 , 1.23ms, Time Mon Mar  7 10:02:10 2016

Seq 349 , 1.23ms, Time Mon Mar  7 10:02:11 2016

Seq 350 , 1.25ms, Time Mon Mar  7 10:02:12 2016

Seq 351 , 1.24ms, Time Mon Mar  7 10:02:13 2016

Seq 352 , 1.44ms, Time Mon Mar  7 10:02:14 2016

Seq 353 , 1.27ms, Time Mon Mar  7 10:02:15 2016

Seq 354 , 1.32ms, Time Mon Mar  7 10:02:16 2016

Seq 355 , 1.25ms, Time Mon Mar  7 10:02:17 2016

Seq 356 , 1.30ms, Time Mon Mar  7 10:02:18 2016

Seq 357 , 1.24ms, Time Mon Mar  7 10:02:19 2016

Seq 358 , 1.49ms, Time Mon Mar  7 10:02:20 2016

Seq 359 , 1.24ms, Time Mon Mar  7 10:02:21 2016

Seq 360 , 1.24ms, Time Mon Mar  7 10:02:22 2016

Seq 361 , 1.27ms, Time Mon Mar  7 10:02:23 2016

Seq 362 , 1.27ms, Time Mon Mar  7 10:02:24 2016

Seq 363 , 1.29ms, Time Mon Mar  7 10:02:25 2016

Seq 364 , 1.48ms, Time Mon Mar  7 10:02:26 2016

Seq 365 , 1.24ms, Time Mon Mar  7 10:02:27 2016

Seq 366 , 1.25ms, Time Mon Mar  7 10:02:28 2016

Seq 367 , 1.23ms, Time Mon Mar  7 10:02:29 2016

Seq 368 , 1.22ms, Time Mon Mar  7 10:02:30 2016

Seq 369 , 1.24ms, Time Mon Mar  7 10:02:31 2016

Seq 370 , 1.42ms, Time Mon Mar  7 10:02:32 2016

Seq 371 , 1.23ms, Time Mon Mar  7 10:02:33 2016

Seq 372 , 1.24ms, Time Mon Mar  7 10:02:34 2016

Seq 373 , 1.26ms, Time Mon Mar  7 10:02:35 2016

Seq 374 , 1.25ms, Time Mon Mar  7 10:02:36 2016

Seq 375 , 1.26ms, Time Mon Mar  7 10:02:37 2016

Seq 376 , 1.29ms, Time Mon Mar  7 10:02:38 2016

Seq 377 , 1.26ms, Time Mon Mar  7 10:02:39 2016

Seq 378 , 1.29ms, Time Mon Mar  7 10:02:40 2016

Seq 379 , 1.25ms, Time Mon Mar  7 10:02:41 2016

Seq 380 , 1.26ms, Time Mon Mar  7 10:02:42 2016

Seq 381 , 1.26ms, Time Mon Mar  7 10:02:43 2016

